0,upscale_factor,2
1,batchSize,12
2,testBatchSize,100
3,Epoch,100
4,learningRate,0.001
5,threads,12
6,Num of parameters,10340
7,Loss,1,1,0.2855381667613983
8,Loss,1,2,0.21196013689041138
9,Loss,1,3,0.19707612693309784
10,Loss,1,4,0.1882733553647995
11,Loss,1,5,0.1760644167661667
12,Loss,1,6,0.16403546929359436
13,Loss,1,7,0.12018249183893204
14,Loss,1,8,0.11632391810417175
15,Loss,1,9,0.09928649663925171
16,Loss,1,10,0.08469005674123764
17,Loss,1,11,0.07961691170930862
18,Loss,1,12,0.0586380660533905
19,Loss,1,13,0.05472482740879059
20,Loss,1,14,0.043527115136384964
21,Loss,1,15,0.042083486914634705
22,Loss,1,16,0.03931887075304985
23,Loss,1,17,0.04684651270508766
24,Avg_ioss,1,0.11812861329492401
25,PSNR,1,13.603401761909817
26,Loss,2,1,0.04286499321460724
27,Loss,2,2,0.04667062684893608
28,Loss,2,3,0.042218998074531555
29,Loss,2,4,0.0355595164000988
30,Loss,2,5,0.03177186846733093
31,Loss,2,6,0.028101755306124687
32,Loss,2,7,0.027296127751469612
33,Loss,2,8,0.027322715148329735
34,Loss,2,9,0.025714555755257607
35,Loss,2,10,0.03095909021794796
36,Loss,2,11,0.023500507697463036
37,Loss,2,12,0.02222900278866291
38,Loss,2,13,0.02584575116634369
39,Loss,2,14,0.022675693035125732
40,Loss,2,15,0.027314266189932823
41,Loss,2,16,0.024057723581790924
42,Loss,2,17,0.017986632883548737
43,Avg_ioss,2,0.029534695560441297
44,PSNR,2,16.19681853230125
45,Loss,3,1,0.024892650544643402
46,Loss,3,2,0.019801152870059013
47,Loss,3,3,0.02016197331249714
48,Loss,3,4,0.01552899181842804
49,Loss,3,5,0.018704017624258995
50,Loss,3,6,0.01835254207253456
51,Loss,3,7,0.016617557033896446
52,Loss,3,8,0.0163553599268198
53,Loss,3,9,0.02077479660511017
54,Loss,3,10,0.014816422015428543
55,Loss,3,11,0.01615591160953045
56,Loss,3,12,0.012648058123886585
57,Loss,3,13,0.01461921539157629
58,Loss,3,14,0.01216192077845335
59,Loss,3,15,0.014385717920958996
60,Loss,3,16,0.012736187316477299
61,Loss,3,17,0.01532925758510828
62,Avg_ioss,3,0.016708337208803964
63,PSNR,3,18.903973891544513
64,Loss,4,1,0.010189914144575596
65,Loss,4,2,0.010407678782939911
66,Loss,4,3,0.010287321172654629
67,Loss,4,4,0.010968976654112339
68,Loss,4,5,0.011588512919843197
69,Loss,4,6,0.00982658565044403
70,Loss,4,7,0.011063319630920887
71,Loss,4,8,0.009530137293040752
72,Loss,4,9,0.007483851630240679
73,Loss,4,10,0.009262356907129288
74,Loss,4,11,0.012975008226931095
75,Loss,4,12,0.008912217803299427
76,Loss,4,13,0.0072076707147061825
77,Loss,4,14,0.008916703052818775
78,Loss,4,15,0.008259624242782593
79,Loss,4,16,0.00699334591627121
80,Loss,4,17,0.008025565184652805
81,Avg_ioss,4,0.009523458231021376
82,PSNR,4,20.760196091023335
