0,upscale_factor,2
1,batchSize,32
2,testBatchSize,100
3,Epoch,500
4,learningRate,0.001
5,threads,12
6,Num of parameters,13316
7,Loss,1,1,0.2318391501903534
8,Loss,1,2,0.21785934269428253
9,Loss,1,3,0.17695827782154083
10,Loss,1,4,0.1493794023990631
11,Loss,1,5,0.149733766913414
12,Loss,1,6,0.10532906651496887
13,Loss,1,7,0.0879586711525917
14,Avg_ioss,1,0.15986538252660207
15,PSNR,1,10.737500826871349
16,Loss,2,1,0.0809255912899971
17,Loss,2,2,0.07646553218364716
18,Loss,2,3,0.05480000004172325
19,Loss,2,4,0.046602245420217514
20,Loss,2,5,0.03569412976503372
21,Loss,2,6,0.03920755907893181
22,Loss,2,7,0.050747595727443695
23,Avg_ioss,2,0.05492037907242775
24,PSNR,2,12.993640290362979
25,Loss,3,1,0.04523421823978424
26,Loss,3,2,0.04959963262081146
27,Loss,3,3,0.04806866496801376
28,Loss,3,4,0.04243665933609009
29,Loss,3,5,0.04346537962555885
30,Loss,3,6,0.04093117266893387
31,Loss,3,7,0.03534432500600815
32,Avg_ioss,3,0.04358286463788578
33,PSNR,3,14.348710491802454
34,Loss,4,1,0.032538969069719315
35,Loss,4,2,0.029281992465257645
36,Loss,4,3,0.04362843930721283
37,Loss,4,4,0.038111671805381775
38,Loss,4,5,0.030049683526158333
39,Loss,4,6,0.034363579005002975
40,Loss,4,7,0.03410212695598602
41,Avg_ioss,4,0.03458235173353127
42,PSNR,4,15.00278841479531
43,Loss,5,1,0.029246926307678223
44,Loss,5,2,0.026744138449430466
45,Loss,5,3,0.027127549052238464
46,Loss,5,4,0.02174525521695614
47,Loss,5,5,0.023939210921525955
48,Loss,5,6,0.022372005507349968
49,Loss,5,7,0.021710893139243126
50,Avg_ioss,5,0.024697996942060336
51,PSNR,5,16.332058110413115
52,Loss,6,1,0.020418044179677963
53,Loss,6,2,0.02040005847811699
54,Loss,6,3,0.020395148545503616
55,Loss,6,4,0.01814384199678898
56,Loss,6,5,0.018248749896883965
57,Loss,6,6,0.017624950036406517
58,Loss,6,7,0.016558565199375153
59,Avg_ioss,6,0.018827051190393313
60,PSNR,6,17.872492777720232
61,Loss,7,1,0.015133660286664963
62,Loss,7,2,0.014965329319238663
63,Loss,7,3,0.01298850029706955
64,Loss,7,4,0.01228370051831007
65,Loss,7,5,0.011545483954250813
66,Loss,7,6,0.013409743085503578
67,Loss,7,7,0.016878828406333923
68,Avg_ioss,7,0.013886463695338793
69,PSNR,7,19.153332558215784
70,Loss,8,1,0.010562081821262836
71,Loss,8,2,0.011207690462470055
72,Loss,8,3,0.011874322779476643
73,Loss,8,4,0.011564604938030243
74,Loss,8,5,0.012378730811178684
75,Loss,8,6,0.008601079694926739
76,Loss,8,7,0.012835925444960594
77,Avg_ioss,8,0.011289205136043685
78,PSNR,8,19.493967338130314
79,Loss,9,1,0.010585730895400047
80,Loss,9,2,0.011113610118627548
81,Loss,9,3,0.00921555981040001
82,Loss,9,4,0.010442664846777916
83,Loss,9,5,0.009295172989368439
84,Loss,9,6,0.009890541434288025
85,Loss,9,7,0.010437006130814552
86,Avg_ioss,9,0.010140040889382362
87,PSNR,9,20.03008608703434
88,Loss,10,1,0.00992941576987505
89,Loss,10,2,0.008331372402608395
90,Loss,10,3,0.009377934969961643
91,Loss,10,4,0.008460044860839844
92,Loss,10,5,0.008718861266970634
93,Loss,10,6,0.008269868791103363
94,Loss,10,7,0.010990262031555176
95,Avg_ioss,10,0.009153965727559157
96,PSNR,10,20.444829693205296
97,Loss,11,1,0.009062393568456173
98,Loss,11,2,0.008710258640348911
99,Loss,11,3,0.007977408356964588
100,Loss,11,4,0.008265631273388863
101,Loss,11,5,0.009059089235961437
102,Loss,11,6,0.007227362599223852
103,Loss,11,7,0.006200109142810106
104,Avg_ioss,11,0.008071750402450562
105,PSNR,11,20.69751019040091
106,Loss,12,1,0.008526177145540714
107,Loss,12,2,0.007742011919617653
108,Loss,12,3,0.007201238535344601
109,Loss,12,4,0.007531832903623581
110,Loss,12,5,0.008491747081279755
111,Loss,12,6,0.007330923806875944
112,Loss,12,7,0.007427598349750042
113,Avg_ioss,12,0.007750218534576041
114,PSNR,12,20.97010261518218
115,Loss,13,1,0.006904951762408018
116,Loss,13,2,0.006915228441357613
117,Loss,13,3,0.008232935331761837
118,Loss,13,4,0.007161364890635014
119,Loss,13,5,0.006985293235629797
120,Loss,13,6,0.008101730607450008
121,Loss,13,7,0.006485267076641321
122,Avg_ioss,13,0.007255253049411944
123,PSNR,13,21.198509283253948
124,Loss,14,1,0.008419564925134182
125,Loss,14,2,0.006767169572412968
126,Loss,14,3,0.007817604579031467
127,Loss,14,4,0.005532376933842897
128,Loss,14,5,0.007407733239233494
129,Loss,14,6,0.005589805543422699
130,Loss,14,7,0.006793185602873564
131,Avg_ioss,14,0.0069039200565644675
132,PSNR,14,21.461001460607743
133,Loss,15,1,0.006826399825513363
134,Loss,15,2,0.00663794158026576
135,Loss,15,3,0.006849528290331364
136,Loss,15,4,0.006644583307206631
137,Loss,15,5,0.006244414485991001
138,Loss,15,6,0.006117176730185747
139,Loss,15,7,0.004567546769976616
140,Avg_ioss,15,0.0062696558556386405
141,PSNR,15,21.75203004847061
142,Loss,16,1,0.006749219261109829
143,Loss,16,2,0.004713396541774273
144,Loss,16,3,0.005736981052905321
145,Loss,16,4,0.006584437098354101
146,Loss,16,5,0.006263332907110453
147,Loss,16,6,0.005985048599541187
148,Loss,16,7,0.00618441728875041
149,Avg_ioss,16,0.006030976107077939
