,Set5,Set14,Urban100,B100
avg_psnr_predicted,36.75643912328681,32.51777092113099,29.34676063838572,31.300785444632588
avg_psnr_bicubic,33.6903938129254,30.336809639449793,26.875190238673998,29.56205112358421
avg_elapsed_time,0.09247002601623536,0.05052108424050467,0.03365683794021607,0.0027434253692626954
